country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
France,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,1720,,,,,
Indonesia,562,0,,,,,,,,,,,,,,,,,,,,,,,0,699k,0,36.3k,
India,,,,,,,,,,,,,,,,,,,,,,,,,,671k,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,1.05M,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,27.3k,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,15.8k,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,5140,,,
Peru,,,,,,,,,,,,,,,,,,759,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,12.1k,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2440
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,105k,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,4830,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,75.3k,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
Vanuatu,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,
